노선,역A,역B,인원
2호선 본선,교대,서초,339368.2
2호선 본선,시청,충정로,339145.2
2호선 본선,낙성대,사당,331657.2
2호선 본선,방배,사당,330830.5
2호선 본선,방배,서초,329573.6
2호선 본선,강남,역삼,328959.5
2호선 본선,아현,충정로,323484.9
3호선,안국,종로3가,323395.5
2호선 본선,낙성대,서울대입구,320206.8
2호선 본선,강남,교대,320051.0
2호선 본선,아현,이대,317262.0
2호선 본선,을지로3가,을지로입구,315217.2
2호선 본선,신촌,홍대입구,315019.1
2호선 본선,신촌,이대,315006.0
2호선 본선,문래,영등포구청,314480.9
2호선 본선,상왕십리,신당,314027.1
2호선 본선,봉천,서울대입구,312274.7
2호선 본선,상왕십리,왕십리,312040.3
2호선 본선,동대문역사문화공원,신당,310366.7
2호선 본선,시청,을지로입구,307946.6
7호선,남구로,대림,307002.3
2호선 본선,봉천,신림,306239.8
2호선 본선,문래,신도림,306000.2
2호선 본선,선릉,역삼,304818.7
4호선,동대문,동대문역사문화공원,301775.0
2호선 본선,을지로3가,을지로4가,301747.4
2호선 본선,당산,합정,296704.0
2호선 본선,동대문역사문화공원,을지로4가,293482.0
1호선,가산디지털단지,독산,293303.4
4호선,동대문,혜화,288221.6
7호선,가산디지털단지,남구로,287438.4
2호선 본선,당산,영등포구청,282126.2
7호선,논현,학동,277670.9
2호선 본선,합정,홍대입구,276232.7
7호선,강남구청,학동,275833.7
수인분당선,강남구청,선정릉,275626.2
7호선,건대입구,어린이대공원,274565.7
2호선 본선,구로디지털단지,대림,272997.3
2호선 본선,대림,신도림,269275.1
3호선,을지로3가,종로3가,267897.4
7호선,군자,어린이대공원,264597.3
3호선,경복궁,안국,263127.2
7호선,군자,중곡,261843.4
2호선 본선,왕십리,한양대,261022.3
3호선,고속터미널,교대,259438.5
2호선 본선,구로디지털단지,신대방,259234.5
2호선 본선,신대방,신림,258518.8
1호선,금천구청,독산,257370.4
7호선,고속터미널,반포,256847.5
7호선,논현,반포,254512.2
7호선,강남구청,청담,253909.4
2호선 본선,뚝섬,한양대,249995.1
3호선,신사,압구정,249526.6
7호선,건대입구,자양,248622.3
5호선 본선,공덕,마포,248553.0
1호선,구로,신도림,248465.3
3호선,압구정,옥수,245739.4
7호선,자양,청담,244083.7
5호선 본선,여의나루,여의도,243921.0
7호선,용마산,중곡,243890.4
4호선,한성대입구,혜화,243556.1
2호선 본선,삼성,선릉,241583.9
7호선,남성,총신대입구,240171.7
5호선 본선,마포,여의나루,240093.9
7호선,고속터미널,내방,239094.6
5호선 본선,애오개,충정로,238972.1
3호선,경복궁,독립문,238968.8
2호선 본선,뚝섬,성수,238763.6
5호선 본선,공덕,애오개,238179.9
7호선,이수,총신대입구,236583.7
3호선,교대,남부터미널,235558.8
7호선,내방,이수,235185.8
3호선,금호,약수,234770.2
2호선 본선,건대입구,성수,234346.1
3호선,을지로3가,충무로,234304.4
3호선,금호,옥수,233450.2
4호선,동대문역사문화공원,충무로,232990.7
2호선 본선,삼성,종합운동장,232622.6
7호선,사가정,용마산,232288.4
5호선 본선,광화문,종로3가,232163.7
2호선 본선,건대입구,구의,231802.5
5호선 본선,양평,영등포구청,230949.8
4호선,명동,충무로,228037.5
7호선,남성,숭실대입구,227853.8
1호선,가산디지털단지,구로,226823.4
3호선,독립문,무악재,226626.5
5호선 본선,광화문,서대문,225843.0
