노선,순번,역명,위도,경도,순환,비고
1호선,1,청량리,37.580148,127.045063,N,
1호선,2,제기동,37.578116,127.034902,N,
1호선,3,신설동,37.576117,127.02471,N,
1호선,4,동묘앞,37.573265,127.016459,N,
1호선,5,동대문,37.571646,127.01069,N,
1호선,6,종로5가,37.570971,127.0019,N,
1호선,7,종로3가,37.570429,126.992095,N,
1호선,8,종각,37.570203,126.983116,N,
1호선,9,시청,37.565211,126.977207,N,
1호선,10,서울,37.55585,126.972103,N,
2호선 성수지선,1,성수,37.544628,127.055983,N,분기역
2호선 성수지선,2,용답,37.562066,127.05087863,N,
2호선 성수지선,3,신답,37.569847,127.047048,N,
2호선 성수지선,4,용두,37.574012,127.03811,N,
2호선 성수지선,5,신설동,37.574653,127.025158,N,
2호선 신정지선,1,신도림,37.508815,126.891222,N,분기역
2호선 신정지선,2,도림천,37.5145589,126.882586,N,
2호선 신정지선,3,양천구청,37.5123294,126.865593,N,
2호선 신정지선,4,신정네거리,37.520218,126.852849,N,
2호선 본선,1,당산,37.534807,126.902611,Y,
2호선 본선,2,영등포구청,37.525766,126.896627,Y,
2호선 본선,3,문래,37.517993,126.894766,Y,
2호선 본선,4,신도림,37.508815,126.891222,Y,
2호선 본선,5,대림,37.4932826,126.8949793,Y,
2호선 본선,6,구로디지털단지,37.4852931,126.901456,Y,
2호선 본선,7,신대방,37.487604,126.913479,Y,
2호선 본선,8,신림,37.484216,126.929573,Y,
2호선 본선,9,봉천,37.482416,126.941696,Y,
2호선 본선,10,서울대입구,37.481233,126.952745,Y,
2호선 본선,11,낙성대,37.47713,126.963583,Y,
2호선 본선,12,사당,37.476536,126.981631,Y,
2호선 본선,13,방배,37.481469,126.997627,Y,
2호선 본선,14,서초,37.49191,127.007685,Y,
2호선 본선,15,교대,37.493957,127.014431,Y,
2호선 본선,16,강남,37.49805,127.02795,Y,
2호선 본선,17,역삼,37.500658,127.03643,Y,
2호선 본선,18,선릉,37.504257,127.048174,Y,
2호선 본선,19,삼성,37.508827,127.063203,Y,
2호선 본선,20,종합운동장,37.511128,127.073841,Y,
2호선 본선,21,잠실새내,37.511653,127.086224,Y,
2호선 본선,22,잠실,37.513305,127.100129,Y,
2호선 본선,23,잠실나루,37.520688,127.103836,Y,
2호선 본선,24,강변,37.535161,127.094684,Y,
2호선 본선,25,구의,37.537157,127.0862124,Y,
2호선 본선,26,건대입구,37.540408,127.069231,Y,
2호선 본선,27,성수,37.544628,127.055983,Y,
2호선 본선,28,뚝섬,37.54718,127.047413,Y,
2호선 본선,29,한양대,37.555758,127.0436594,Y,
2호선 본선,30,왕십리,37.561289,127.0370615,Y,
2호선 본선,31,상왕십리,37.564444,127.029322,Y,
2호선 본선,32,신당,37.565675,127.0194259,Y,
2호선 본선,33,동대문역사문화공원,37.565609,127.009083,Y,
2호선 본선,34,을지로4가,37.566611,126.997622,Y,
2호선 본선,35,을지로3가,37.566292,126.990873,Y,
2호선 본선,36,을지로입구,37.565998,126.982569,Y,
2호선 본선,37,시청,37.563534,126.975271,Y,
2호선 본선,38,충정로,37.559742,126.964455,Y,
2호선 본선,39,아현,37.557407,126.956079,Y,
2호선 본선,40,이대,37.556734,126.945897,Y,
2호선 본선,41,신촌,37.555153,126.93689,Y,
2호선 본선,42,홍대입구,37.556748,126.923643,Y,
2호선 본선,43,합정,37.550025,126.914557,Y,
3호선,1,지축,37.648151,126.913751,N,
3호선,2,구파발,37.636612,126.918827,N,
3호선,3,연신내,37.619295,126.920959,N,
3호선,4,불광,37.610154,126.930183,N,
3호선,5,녹번,37.600882,126.935758,N,
3호선,6,홍제,37.588851,126.944092,N,
3호선,7,무악재,37.582658,126.950131,N,
3호선,8,독립문,37.574534,126.957902,N,
3호선,9,경복궁,37.575844,126.973576,N,
3호선,10,안국,37.576562,126.98547,N,
3호선,11,종로3가,37.571537,126.991837,N,
3호선,12,을지로3가,37.566299,126.992616,N,
3호선,13,충무로,37.561382,126.994173,N,
3호선,14,동대입구,37.55906,127.005273,N,
3호선,15,약수,37.554554,127.010858,N,
3호선,16,금호,37.548269,127.015785,N,
3호선,17,옥수,37.541653,127.017303,N,
3호선,18,압구정,37.526169,127.028502,N,
3호선,19,신사,37.516438,127.020247,N,
3호선,20,잠원,37.512989,127.011613,N,
3호선,21,고속터미널,37.504953,127.004916,N,
3호선,22,교대,37.49306,127.013796,N,
3호선,23,남부터미널,37.48494,127.016289,N,
3호선,24,양재,37.48458,127.03423,N,
3호선,25,매봉,37.487114,127.046907,N,
3호선,26,도곡,37.491129,127.055694,N,
3호선,27,대치,37.494601,127.063449,N,
3호선,28,학여울,37.496787,127.0708601,N,
3호선,29,대청,37.493607,127.079526,N,
3호선,30,일원,37.48389,127.08416,N,
3호선,31,수서,37.4875,127.101924,N,
3호선,32,가락시장,37.492318,127.1177,N,
3호선,33,경찰병원,37.495754,127.124198,N,
3호선,34,오금,37.502288,127.128344,N,
4호선,1,불암산,37.67009,127.079004,N,
4호선,2,상계,37.660576,127.073199,N,
4호선,3,노원,37.656274,127.063183,N,
4호선,4,창동,37.653315,127.048304,N,
4호선,5,쌍문,37.648274,127.034381,N,
4호선,6,수유,37.637727,127.025371,N,
4호선,7,미아,37.626435,127.026151,N,
4호선,8,미아사거리,37.613276,127.030083,N,
4호선,9,길음,37.603387,127.025053,N,
4호선,10,성신여대입구,37.592882,127.016908,N,
4호선,11,한성대입구,37.58838,127.005951,N,
4호선,12,혜화,37.582116,127.001929,N,
4호선,13,동대문,37.57099,127.00925,N,
4호선,14,동대문역사문화공원,37.565141,127.007808,N,
4호선,15,충무로,37.561352,126.994573,N,
4호선,16,명동,37.560955,126.986271,N,
4호선,17,회현,37.558698,126.978346,N,
4호선,18,서울,37.553172,126.972706,N,
4호선,19,숙대입구,37.5447834,126.9721,N,
4호선,20,삼각지,37.534457,126.972992,N,
4호선,21,이촌,37.52919,126.9679818,N,
4호선,22,신용산,37.52909,126.96788,N,
4호선,23,동작,37.503567,126.980171,N,
4호선,24,총신대입구,37.487521,126.982309,N,
4호선,25,사당,37.476263,126.981636,N,
4호선,26,남태령,37.464339,126.989081,N,
5호선 마천지선,1,강동,37.53581,127.13249,N,분기역
5호선 마천지선,2,둔촌동,37.527787,127.136219,N,
5호선 마천지선,3,올림픽공원,37.516217,127.130957,N,
5호선 마천지선,4,방이,37.508752,127.126054,N,
5호선 마천지선,5,오금,37.502228,127.127701,N,
5호선 마천지선,6,개롱,37.498097,127.134817,N,
5호선 마천지선,7,거여,37.493208,127.143983,N,
5호선 마천지선,8,마천,37.494972,127.152784,N,
5호선 본선,1,방화,37.577669,126.812822,N,
5호선 본선,2,개화산,37.572458,126.806838,N,
5호선 본선,3,김포공항,37.56217,126.801273,N,
5호선 본선,4,송정,37.561201,126.812052,N,
5호선 본선,5,마곡,37.55865,126.837693,N,
5호선 본선,6,발산,37.558692,126.837633,N,
5호선 본선,7,우장산,37.548864,126.83633,N,
5호선 본선,8,화곡,37.541585,126.840436,N,
5호선 본선,9,까치산,37.5322,126.84645,N,
5호선 본선,10,신정,37.525001,126.856176,N,
5호선 본선,11,목동,37.526088,126.864296,N,
5호선 본선,12,오목교,37.524557,126.875049,N,
5호선 본선,13,양평,37.525614,126.886177,N,
5호선 본선,14,영등포구청,37.524209,126.895022,N,
5호선 본선,15,영등포시장,37.52276,126.905143,N,
5호선 본선,16,신길,37.51763,126.914886,N,
5호선 본선,17,여의도,37.521678,126.924318,N,
5호선 본선,18,여의나루,37.527045,126.932807,N,
5호선 본선,19,마포,37.539718,126.946043,N,
5호선 본선,20,공덕,37.544005,126.951058,N,
5호선 본선,21,애오개,37.553592,126.956733,N,
5호선 본선,22,충정로,37.560061,126.962783,N,
5호선 본선,23,서대문,37.565812,126.966639,N,
5호선 본선,24,광화문,37.571645,126.976568,N,
5호선 본선,25,종로3가,37.572546,126.990447,N,
5호선 본선,26,을지로4가,37.56728,126.998127,N,
5호선 본선,27,동대문역사문화공원,37.564682,127.00533,N,
5호선 본선,28,청구,37.560237,127.01379,N,
5호선 본선,29,신금호,37.554504,127.020403,N,
5호선 본선,30,행당,37.557297,127.029482,N,
5호선 본선,31,왕십리,37.56197,127.037264,N,
5호선 본선,32,마장,37.566066,127.042921,N,
5호선 본선,33,답십리,37.566833,127.05266,N,
5호선 본선,34,장한평,37.561438,127.064601,N,
5호선 본선,35,군자,37.557102,127.079559,N,
5호선 본선,36,아차산,37.552005,127.089609,N,
5호선 본선,37,광나루,37.545301,127.103478,N,
5호선 본선,38,천호,37.538566,127.123539,N,
5호선 본선,39,강동,37.53581,127.13249,N,
5호선 본선,40,길동,37.538022,127.140085,N,
5호선 본선,41,굽은다리,37.545442,127.142844,N,
