id,x,y,r,환승,역명,색목록
0,1742.22,1308.71,2.9,N,,#9a958c
1,1398.37,2383.04,2.9,N,,#a35e8c
2,2287.93,279.08,2.9,N,탑석,#df7504
3,2266.58,257.75,2.9,N,송산,#df7504
4,2245.23,236.42,2.9,N,어룡,#df7504
5,2223.88,215.09,2.9,N,곤제,#df7504
6,914.79,548.29,2.9,N,구산,#713b1d
7,1783.51,380.6,2.9,N,방학,#004b84
8,1808.62,355.49,2.9,N,도봉,#004b84
9,1873.69,290.42,2.9,N,망월사,#004b84
10,1947.64,216.47,2.9,N,가능,#004b84
11,1989.18,174.92,2.9,N,녹양,#004b84
12,2009.42,154.68,2.9,N,양주,#004b84
13,2029.66,134.45,2.9,N,덕계,#004b84
14,2049.9,114.21,2.9,N,덕정,#004b84
15,2070.13,93.97,2.9,N,지행,#004b84
16,1703.3,417.58,2.9,N,쌍문,#009bce
17,2433.37,425.65,2.9,N,,#006550
18,1372.52,1184.03,2.9,N,버티고개,#713b1d
19,1344.36,1212.14,2.9,N,한강진,#713b1d
20,1290.4,1266.1,2.9,N,녹사평,#713b1d
21,1316.29,1240.08,2.9,N,이태원,#713b1d
22,1501.02,713.54,2.9,N,창신,#713b1d
23,708.4,1156.73,2.9,N,망원,#713b1d
24,678.08,1126.42,2.9,N,마포구청,#713b1d
25,653.51,1051.68,2.9,N,월드컵경기장,#713b1d
26,807.2,1255.75,2.9,N,상수,#713b1d
27,872.61,1283.08,2.9,N,광흥창,#713b1d
28,930.44,1283.08,2.9,N,대흥,#713b1d
29,963.48,548.48,2.9,N,역촌,#713b1d
30,939.07,480.37,2.9,N,독바위,#713b1d
31,1245.92,1181.82,2.9,N,숙대입구,#009bce
32,1398.36,703.13,2.9,N,혜화,#009bce
33,1428.99,672.51,2.9,N,한성대입구,#009bce
34,1245.92,1310.56,2.9,N,,#009bce
35,1245.92,1936.34,2.9,N,남태령,#009bce
36,1245.92,1972.38,2.9,N,선바위,#009bce
37,1245.92,2004.94,2.9,N,경마공원,#009bce
38,1245.92,2041.31,2.9,N,대공원,#009bce
39,1213.07,2066.61,2.9,N,과천,#009bce
40,1167.02,2066.61,2.9,N,정부과천청사,#009bce
41,1114.46,2066.45,2.9,N,인덕원,#009bce
42,1068.46,2066.45,2.9,N,평촌,#009bce
43,1021.1,2066.45,2.9,N,범계,#009bce
44,933.47,2102.6,2.9,N,산본,#009bce
45,933.47,2140.54,2.9,N,수리산,#009bce
46,933.47,2178.48,2.9,N,대야미,#009bce
47,933.47,2216.41,2.9,N,반월,#009bce
48,933.47,2254.35,2.9,N,상록수,#009bce
49,1364.25,1055.1,2.9,N,동대입구,#eb6101
50,1431.62,1218.62,2.9,N,금호,#eb6101
51,1431.62,1414.73,2.9,N,압구정,#eb6101
52,1431.62,1512.85,2.9,N,잠원,#eb6101
53,1461.52,1919.27,2.9,N,남부터미널,#eb6101
54,1562.69,1919.27,2.9,N,매봉,#eb6101
55,1663.03,1919.27,2.9,N,대치,#eb6101
56,1710.37,1919.27,2.9,N,학여울,#eb6101
57,1758.43,1919.27,2.9,N,대청,#eb6101
58,1805.05,1919.27,2.9,N,일원,#eb6101
59,1979.3,1774.62,2.9,N,경찰병원,#eb6101
60,1169.78,686.35,2.9,N,안국,#eb6101
61,1154.07,652.84,2.9,N,경복궁,#eb6101
62,1121.49,620.3,2.9,N,독립문,#eb6101
63,1091.71,590.45,2.9,N,무악재,#eb6101
64,1063.57,562.54,2.9,N,홍제,#eb6101
65,1036.22,535.19,2.9,N,녹번,#eb6101
66,816.38,522.84,2.9,N,구파발,#eb6101
67,355.69,522.97,2.9,N,정발산,#eb6101
68,402.53,523.1,2.9,N,마두,#eb6101
69,450.63,522.84,2.9,N,백석,#eb6101
70,903.22,1457.37,2.9,N,국회의사당,#a49d87
71,1178.23,1457.37,2.9,N,노들,#a49d87
72,1214.79,1457.37,2.9,N,흑석,#a49d87
73,1245.92,1004.56,2.9,N,명동,#009bce
74,1245.92,1048.07,2.9,N,회현,#009bce
75,1319.85,1503.53,2.9,N,구반포,#a49d87
76,1355.1,1538.78,2.9,N,신반포,#a49d87
77,1470.05,1594.87,2.9,N,사평,#a49d87
78,1561.32,1594.87,2.9,N,언주,#a49d87
79,1652.18,1594.87,2.9,N,삼성중앙,#a49d87
80,1694.72,1594.87,2.9,N,봉은사,#a49d87
81,1789.67,1594.87,2.9,N,삼전,#a49d87
82,1833.83,1594.87,2.9,N,석촌고분,#a49d87
83,1918.23,1594.87,2.9,N,송파나루,#a49d87
84,1956.07,1594.87,2.9,N,한성백제,#a49d87
85,2052.16,1534.69,2.9,N,둔촌오륜,#a49d87
86,2100.57,1486.06,2.9,N,중앙보훈병원,#a49d87
87,1849.65,1399.14,2.9,N,몽촌토성,#e5006a
88,1913.28,1335.51,2.9,N,강동구청,#e5006a
89,2031.13,1217.91,2.9,N,암사,#e5006a
90,2061.01,1187.55,2.9,N,암사역사공원,#e5006a
91,2133.04,1009.46,2.9,N,,#e5006a
92,2157.65,689.17,2.9,N,,#e5006a
93,2175.45,671.6,2.9,N,다산,#e5006a
94,1882.18,1700.48,2.9,N,송파,#e5006a
95,1955.45,1848.26,2.9,N,문정,#e5006a
96,1979.52,1872.24,2.9,N,장지,#e5006a
97,2040.74,1933.62,2.9,N,남위례,#e5006a
98,2064.28,1956.9,2.9,N,산성,#e5006a
99,2089.65,1982.62,2.9,N,남한산성입구,#e5006a
100,2115.11,2008.11,2.9,N,단대오거리,#e5006a
101,2095.08,2030.57,2.9,N,신흥,#e5006a
102,2052.33,2030.57,2.9,N,수진,#e5006a
103,702.68,1297.63,2.9,N,선유도,#a49d87
104,659.48,1254.45,2.9,N,신목동,#a49d87
105,615.79,1210.92,2.9,N,염창,#a49d87
106,572.14,1167.2,2.9,N,등촌,#a49d87
107,555.89,1065.87,2.9,N,가양,#a49d87
108,555.89,1019.53,2.9,N,양천향교,#a49d87
109,555.89,1117.42,2.9,N,증미,#a49d87
110,419.5,956.58,2.9,N,공항시장,#a49d87
111,313.84,956.69,2.9,N,개화,#a49d87
112,473.2,956.58,2.9,N,신방화,#a49d87
113,985.42,1362.52,2.9,N,마포,#794698
114,985.42,1428.01,2.9,N,여의나루,#794698
115,985.42,1115.54,2.9,N,애오개,#794698
116,856.93,1518.89,2.9,N,영등포시장,#794698
117,716.7,1456.96,2.9,N,양평,#794698
118,680.57,1420.86,2.9,N,오목교,#794698
119,641.07,1381.29,2.9,N,목동,#794698
120,607.04,1347.15,2.9,N,신정,#794698
121,527.31,1267.63,2.9,N,화곡,#794698
122,476.88,1217.05,2.9,N,우장산,#794698
123,432.84,1173.27,2.9,N,발산,#794698
124,391.8,1131.81,2.9,N,마곡,#794698
125,372.83,1062.2,2.9,N,송정,#794698
126,372.83,869.12,2.9,N,개화산,#794698
127,372.83,832.52,2.9,N,방화,#794698
128,985.42,843.93,2.9,N,서대문,#794698
129,985.42,784.64,2.9,N,광화문,#794698
130,1534.77,972.26,2.9,N,신금호,#794698
131,1575.83,972.26,2.9,N,행당,#794698
132,1774.36,972.26,3.15,Y,마장|용답,#00a23f|#794698
133,1836.05,972.26,2.9,N,답십리,#794698
134,1885.76,972.26,2.9,N,장한평,#794698
135,1995.92,1043.82,2.9,N,아차산,#794698
136,1995.92,1115.77,2.9,N,광나루,#794698
137,1995.92,1486.83,2.9,N,둔촌동,#794698
138,1995.92,1662.69,2.9,N,방이,#794698
139,2059.85,1729.41,2.9,N,개롱,#794698
140,2101.69,1729.41,2.9,N,거여,#794698
141,2141.04,1729.41,2.9,N,마천,#794698
142,2170.7,1191.15,2.9,N,상일동,#794698
143,2137.87,1223.98,2.9,N,고덕,#794698
144,2105.03,1256.82,2.9,N,명일,#794698
145,2072.2,1289.65,2.9,N,굽은다리,#794698
146,2039.37,1322.48,2.9,N,길동,#794698
147,2236.37,1125.48,2.9,N,미사,#794698
148,2291.22,1112.53,2.9,N,하남풍산,#794698
149,2344.41,1112.53,2.9,N,하남시청,#794698
150,2400.46,1112.53,2.9,N,하남검단산,#794698
151,2203.53,1158.32,2.9,N,강일,#794698
152,182.74,1456.68,2.9,N,산곡,#69702e
153,471.73,1493.87,2.9,N,신중동,#69702e
154,506.32,1528.23,2.9,N,춘의,#69702e
155,577.98,1600.08,2.9,N,까치울,#69702e
156,321.54,1456.68,2.9,N,삼산체육관,#69702e
157,365.03,1456.68,2.9,N,상동,#69702e
158,414.58,1456.68,2.9,N,부천시청,#69702e
159,275.8,1456.68,2.9,N,굴포천,#69702e
160,718.1,1709.29,2.9,N,철산,#69702e
161,827.62,1709.29,2.9,N,남구로,#69702e
162,653.15,1674.93,2.9,N,천왕,#69702e
163,680.08,1702.41,2.9,N,광명사거리,#69702e
164,1058.32,1598.75,2.9,N,서울지방병무청,#557ec0
165,1007.14,1729.12,2.9,N,보라매공원,#557ec0
166,1007.14,1752.95,2.9,N,보라매병원,#557ec0
167,1007.14,1898.32,2.9,N,서원,#557ec0
168,1026.01,1934.22,2.9,N,서울대벤처타운,#557ec0
169,1093.88,1934.8,2.9,N,관악산,#557ec0
170,948.94,1709.29,2.9,N,신풍,#69702e
171,1097.46,1709.29,2.9,N,장승배기,#69702e
172,1053.35,1709.29,2.9,N,신대방삼거리,#69702e
173,1134.96,1709.29,2.9,N,상도,#69702e
174,1172.88,1709.29,2.9,N,숭실대입구,#69702e
175,1210.81,1709.29,2.9,N,남성,#69702e
176,1007.14,1776.78,2.9,N,당곡,#557ec0
177,1355.04,1673.45,2.9,N,내방,#69702e
178,1470.9,1557.54,2.9,N,반포,#69702e
179,1558.21,1470.48,2.9,N,학동,#69702e
180,1683.5,1345.37,2.9,N,청담,#69702e
181,1742.22,1286.94,2.9,N,자양,#69702e
182,1885.58,1143.29,2.9,N,어린이대공원,#69702e
183,1925.12,926.72,2.9,N,중곡,#69702e
184,1925.12,885.71,2.9,N,용마산,#69702e
185,1925.12,844.7,2.9,N,사가정,#69702e
186,1925.12,803.69,2.9,N,면목,#69702e
187,1543.76,1986.28,2.9,N,양재시민의숲,#c12c30
188,1596.18,2038.34,2.9,N,청계산입구,#c12c30
189,1537.88,2229.32,2.9,N,광교중앙,#c12c30
190,1454.1,2229.26,2.9,N,광교,#c12c30
191,1619.94,2229.34,2.9,N,상현,#c12c30
192,1696.34,2229.34,2.9,N,성복,#c12c30
193,1783.89,2229.34,2.9,N,수지구청,#c12c30
194,1863.84,2229.34,2.9,N,동천,#c12c30
195,1215.12,1213.37,2.9,N,남영,#004b84
196,887.71,1580.67,2.9,N,영등포,#004b84
197,744.74,1642.22,2.9,N,구일,#004b84
198,707.38,1642.22,2.9,N,개봉,#004b84
199,673.38,1642.22,2.9,N,오류동,#004b84
200,583.35,1642.22,2.9,N,역곡,#004b84
201,547.7,1724.49,2.9,N,소새울,#4da635
202,432.92,1374.07,2.9,N,원종,#4da635
203,547.69,1886.87,2.9,N,시흥대야,#4da635
204,547.69,1975.37,2.9,N,신천,#4da635
205,591.24,2036.6,2.9,N,신현,#4da635
206,630.92,2076.32,2.9,N,시흥시청,#4da635
207,670.6,2116.04,2.9,N,시흥능곡,#4da635
208,723.18,2362.51,2.9,N,시우,#4da635
209,790.75,2382.61,2.9,N,원시,#4da635
210,710.28,2155.76,2.9,N,달미,#4da635
211,723.18,2201.12,2.9,N,선부,#4da635
212,484.9,1642.22,2.9,N,부천,#004b84
213,427.66,1642.22,2.9,N,중동,#004b84
214,371.16,1642.22,2.9,N,송내,#004b84
215,312.65,1642.22,2.9,N,부개,#004b84
216,773.88,1784.45,2.9,N,독산,#004b84
217,720.84,1832.91,2.9,N,,#9a958c
218,795.17,1907.98,2.9,N,석수,#004b84
219,833.44,1946.25,2.9,N,관악,#004b84
220,871.71,1984.52,2.9,N,안양,#004b84
221,909.98,2022.79,2.9,N,명학,#004b84
222,1016.01,2128.79,2.9,N,군포,#004b84
