역명,x,y,conf
가양,2414.5,4428.5,97.0
가오리,6240.5,1627.5,97.0
가정,628.5,5391.5,93.1
가좌,734.5,6624.5,96.9
가평,10225.0,1903.5,97.0
간석,1027.5,7208.2,80.2
갈매,8904.0,2701.5,96.9
갈산,1080.5,5750.0,97.0
강남,6395.0,7618.5,97.0
강남대,7226.5,9834.8,96.8
강매,2257.0,3018.2,97.0
강일,9271.5,4862.0,96.2
개봉,2959.5,6911.0,87.4
개포동,7098.0,8283.5,96.8
거여,8756.0,7281.5,97.0
검암,639.0,4331.0,86.8
계산,1079.5,5140.2,96.8
계양,1087.2,4331.8,97.0
고덕,8996.5,5128.0,94.6
고색,4778.5,9640.0,96.9
고잔,3304.0,9647.5,97.0
고진,9157.2,10076.8,95.3
곤지암,9525.0,8993.5,95.9
공덕,4197.8,5069.8,96.8
과천,5054.5,8686.5,96.4
관악,3542.2,8063.5,96.6
관악산,4559.5,8129.5,96.9
광교,6063.0,9362.0,97.0
광나루,8436.5,4653.0,97.0
광운대,7183.5,2158.5,97.0
광화문,4217.5,3274.0,90.5
교대,6066.5,7764.0,96.9
구로,3478.5,7037.0,97.0
구룡,6784.5,8283.5,96.4
구리,8787.0,3052.0,97.0
구의,7571.5,5355.0,96.3
구파발,3403.0,2255.5,96.5
국수,10227.5,3271.5,96.9
군자,8124.5,4126.5,97.0
군포,4303.5,8823.2,96.4
굴포천,1144.0,6143.5,96.2
금정,4030.5,8492.0,95.8
기흥,7229.8,9453.8,96.8
길음,6435.2,2442.8,95.0
까치울,2483.0,6634.0,80.9
낙성대,4943.5,7853.0,97.0
남성,5044.0,6996.5,96.7
남위례,8574.8,8013.8,82.0
남태령,5312.5,8073.0,93.7
남한산성입구,8826.2,8217.5,81.2
내방,5721.0,7020.0,97.0
노들,4911.5,5992.0,96.9
노량진,4915.5,6157.5,96.9
논현,6406.0,6349.5,96.9
다산,9128.0,2843.0,97.0
답십리,7652.5,4120.5,96.9
당산,3222.5,5524.5,97.0
당정,4438.2,8966.8,97.0
대곡,2266.5,2257.5,97.0
대공원,5311.0,8508.0,97.0
대림,3791.2,7006.0,97.0
대방,4533.0,6464.0,97.0
대성리,10247.5,2313.5,97.0
대야미,2471.0,7870.5,82.0
대청,7325.0,8079.5,93.4
대치,6930.5,8078.0,97.0
대화,1253.2,1909.8,93.4
대흥,3878.5,5421.0,96.4
덕소,9440.5,3041.5,97.0
도곡,6802.0,7876.0,97.0
도농,9082.5,3041.0,83.1
도봉,7603.5,1531.2,81.7
도봉산,7542.0,1255.5,72.3
도심,9614.0,3040.2,96.7
도원,1027.0,7956.5,97.0
도화,1030.0,7695.0,96.9
동대문,5559.5,2993.0,96.5
동두천,8961.0,381.0,97.0
동막,1301.0,9069.2,97.0
동백,7813.8,10077.8,97.0
동암,1029.5,7080.5,94.3
동오,8585.2,2537.0,64.6
동작,5289.2,6157.2,97.0
동춘,1300.0,8940.0,97.0
뚝섬,7315.5,4529.5,95.6
마곡,1703.5,4672.5,96.2
마두,1679.5,2255.5,97.0
마석,10224.5,2450.0,97.0
마장,7397.5,4121.5,71.4
마전,627.5,3793.0,95.9
마천,8918.0,7281.5,96.9
마포,4202.5,5681.5,96.6
망우,8417.0,3056.0,97.0
망원,3047.0,4776.5,95.9
매봉,6513.0,8074.0,97.0
면목,8116.2,3351.2,96.9
명동,5289.5,4181.0,96.6
명지대,8586.2,10077.8,90.8
무악재,4617.5,2427.2,82.0
문래,3416.5,6521.0,54.8
문산,745.5,1278.0,97.0
미사,9388.2,4743.0,96.9
미아,6798.0,2082.5,97.0
반월,3983.5,9237.5,96.8
반포,6202.0,6539.0,97.0
발산,1510.2,2255.0,96.8
방배,5557.0,7862.0,97.0
방학,7501.0,1639.0,97.0
방화,1651.5,3473.0,97.0
백마,2267.5,1781.5,96.9
백석,1877.5,2255.5,97.0
백운,1027.5,6952.0,97.0
병점,4577.0,9844.5,97.0
보라매,4069.0,7006.0,96.5
보정,7762.0,9640.5,97.0
봉은사,7058.0,6721.0,96.5
봉화산,8616.5,2537.0,96.0
부천,2019.8,6910.2,96.9
부평,1122.8,6722.5,96.9
불암산,8446.0,1816.0,85.1
사당,5297.0,7884.5,97.0
사릉,9485.5,2702.5,96.9
사리,4026.5,9639.0,97.0
사우,1129.5,3383.0,96.8
사평,6126.5,6722.5,96.9
산곡,762.0,6145.5,97.0
산본,3984.5,8762.5,97.0
산성,8669.5,8112.8,97.0
삼가,8205.5,10077.0,97.0
삼각지,5061.5,5228.5,96.6
삼동,8751.0,8811.2,96.5
삼성,6882.5,6722.5,96.8
삼송,3020.5,2256.0,96.5
삼양,6217.5,1891.0,96.9
상계,8252.0,1817.5,97.0
상도,4722.5,6996.5,97.0
상동,1521.5,6145.5,96.8
상록수,4009.2,9396.8,97.0
상봉,8123.0,3056.0,96.9
상일동,9120.5,5004.0,81.9
상천,10224.5,2039.5,96.1
상현,6749.0,9361.5,97.0
새말,8787.0,923.0,96.2
서강대,3823.0,4933.8,82.0
서구청,650.5,5104.5,96.9
서대문,4216.0,3525.2,95.8
서동탄,5831.5,10004.0,81.9
서빙고,5608.0,5635.2,96.2
서울,9421.5,10435.5,97.0
서원,4282.5,7914.5,78.3
서초,5760.0,7822.0,47.7
서현,8303.0,8876.5,97.0
석남,637.2,5948.0,97.0
선바위,5311.0,8222.0,97.0
선유도,3019.8,5325.5,97.0
선학,1481.5,8433.5,97.0
성남,8077.0,8580.5,97.0
성복,7069.5,9362.0,97.0
세마,4657.5,10013.5,96.3
소요산,9486.5,380.8,97.0
송내,1546.0,6911.0,97.0
송도,1022.5,8822.0,97.0
송정,1647.0,4431.0,94.6
송탄,4144.5,10379.0,97.0
송파,7941.0,7087.0,96.6
수내,8203.0,8976.2,95.6
수리산,4010.0,8921.5,97.0
수서,7868.5,8065.0,97.0
수진,8552.2,8536.2,97.0
숭의,1022.5,8521.0,96.9
시우,3106.2,9852.2,96.8
시청,4467.0,3444.5,96.8
신갈,7343.8,9639.8,83.3
신길,3973.0,6463.5,97.0
신내,8732.8,2758.8,97.0
신당,6295.0,3511.5,97.0
신대방,4390.5,6931.5,96.9
신도림,3624.0,6800.0,97.0
신림,4091.5,7583.5,96.9
신사,6073.5,6015.5,96.9
신설동,6689.0,2991.0,96.9
신원,10226.5,3148.5,96.9
신정,2573.0,5801.5,97.0
신천,2369.5,8227.5,96.8
신촌,3834.5,4418.2,94.7
신포,1025.5,8389.5,97.0
신풍,3957.0,7194.0,96.7
신현,2536.2,8458.0,97.0
신흥,8731.0,8535.5,96.3
아라,1076.0,4110.0,97.0
아신,10227.0,3391.8,97.0
아차산,8438.0,4355.0,97.0
