역명,등급
4.19민주묘지,D
가능,D
가락시장,B
가산디지털단지,S
가양,B
가오리,D
가재울,E
가정,E
가정중앙시장,E
가좌,D
가천대,D
가평,D
간석,D
간석오거리,E
갈매,D
갈산,E
강남,S
강남구청,B
강남대,C
강동,B
강동구청,C
강매,D
강변,B
강일,D
개롱,D
개봉,B
개포동,D
개화,E
개화산,D
거여,C
건대입구,S
걸포북변,E
검단사거리,E
검단오류,E
검단호수공원,E
검바위,E
검암,D
경기광주,C
경기도청북부청사,D
경마공원,D
경복궁,B
경인교대입구,D
경전철의정부,E
경찰병원,D
계산,D
계양,C
고덕,C
고려대,D
고색,D
고속터미널,S
고잔,C
고진,E
고촌,E
곡산,E
곤제,E
곤지암,E
공덕,A
공릉,C
공항시장,D
공항화물청사,E
과천,D
관악,D
관악산,D
광교,E
광교중앙,B
광나루,C
광명,D
광명사거리,B
광운대,D
광화문,A
광흥창,C
교대,A
구래,C
구로,B
구로디지털단지,S
구룡,D
구리,D
구반포,D
구산,D
구성,D
구의,A
구일,C
구파발,B
국수,E
국제업무지구,D
국회의사당,B
군자,B
군포,D
굴포천,C
굽은다리,C
귤현,C
금곡,E
금릉,D
금정,A
금천구청,C
금촌,D
금호,D
기흥,C
길동,C
길음,B
김량장,E
김포공항,A
까치산,B
까치울,E
낙성대,A
남구로,C
남동구청,C
남동인더스파크,E
남부터미널,A
남성,C
남영,C
남위례,D
남태령,E
남한산성입구,C
내방,C
노들,D
노량진,A
노원,A
녹번,C
녹사평,D
녹양,D
녹천,D
논현,B
능곡,D
능길,D
다산,E
단대오거리,C
달미,E
달월,E
답십리,C
당고개,D
당곡,D
당산,A
당정,D
대곡,C
대공원,D
대림,A
대모산입구,D
대방,C
대성리,E
대야미,D
대청,C
대치,C
대화,C
대흥,C
덕계,D
덕소,D
덕정,D
도곡,C
도농,C
도림천,E
도봉,D
도봉산,B
도심,D
도원,D
도화,D
독립문,D
독바위,D
독산,B
독정,E
돌곶이,C
동대문,A
동대문역사문화공원,A
동대입구,C
동두천,E
동두천중앙,D
동막,E
동묘앞,B
동백,E
동수,C
동암,C
동오,C
동인천,C
동작,D
동천,C
동춘,E
둔전,E
