역명,위도,경도,시도,호선목록,노선수
4.19민주묘지,37.64954,127.01371,서울,우이신설선,1
가능,37.748362,127.044251,경기,1호선,1
가락시장,37.492686,127.11819,서울,3호선|8호선,2
가산디지털단지,37.480972,126.882666,서울,1호선|7호선,2
가양,37.561111,126.855078,서울,9호선,1
가오리,37.64162,127.01681,서울,우이신설선,1
가재울,37.484152,126.683883,인천,인천지하철 2호선,1
가정,37.524805,126.675387,인천,인천지하철 2호선,1
가정중앙시장,37.517511,126.676784,인천,인천지하철 2호선,1
가좌,37.568611,126.914841,서울,경의중앙선,1
가천대,37.448784,127.126677,경기,분당선,1
가평,37.814515,127.510693,경기,경춘선,1
간석,37.464689,126.693408,인천,1호선,1
간석오거리,37.466921,126.707861,인천,인천지하철 1호선,1
갈매,37.634135,127.114803,경기,경춘선,1
갈산,37.517124,126.721566,인천,인천지하철 1호선,1
강남,37.497672,127.027709,서울,2호선|신분당선,2
강남구청,37.516878,127.041397,서울,7호선|분당선,2
강남대,37.270171,127.126067,경기,에버라인,1
강동,37.53581,127.13249,서울,5호선,1
강동구청,37.530348,127.120461,서울,8호선,1
강매,37.612396,126.844537,경기,경의중앙선,1
강변,37.535161,127.094684,서울,2호선,1
강일,37.557521,127.176018,서울,5호선,1
개롱,37.498097,127.134817,서울,5호선,1
개봉,37.494698,126.858504,서울,1호선,1
개포동,37.489112,127.066027,서울,분당선,1
개화,37.578591,126.797833,서울,9호선,1
개화산,37.572458,126.806838,서울,5호선,1
거여,37.493208,127.143983,서울,5호선,1
건대입구,37.540645,127.070167,서울,2호선|7호선,2
걸포북변,37.631639,126.70575,경기,김포도시철도,1
검단사거리,37.601693,126.656545,인천,인천지하철 2호선,1
검단오류,37.595016,126.62801,인천,인천지하철 2호선,1
검단호수공원,37.6025,126.688056,인천,인천지하철 1호선,1
검바위,37.561091,126.677529,인천,인천지하철 2호선,1
검암,37.568883,126.674609,인천,인천국제공항선|인천지하철 2호선,2
경기광주,37.398974,127.253201,경기,경강선,1
경기도청북부청사,37.750732,127.07148,경기,의정부,1
경마공원,37.443987,127.007899,경기,안산과천선,1
경복궁,37.575844,126.973576,서울,3호선,1
경인교대입구,37.538272,126.722603,인천,인천지하철 1호선,1
경전철의정부,37.7373,127.043321,경기,의정부,1
경찰병원,37.495754,127.124198,서울,3호선,1
계산,37.543243,126.728436,인천,인천지하철 1호선,1
계양,37.571654,126.736319,인천,인천국제공항선|인천지하철 1호선,2
고덕,37.555002,127.154214,서울,5호선,1
고려대,37.59034,127.03626,서울,6호선,1
고색,37.249829,126.98059,경기,수인선,1
고속터미널,37.504758,127.004672,서울,3호선|7호선|9호선,3
고잔,37.316821,126.823094,경기,수인선|안산과천선,2
고진,37.244638,127.214184,경기,에버라인,1
고촌,37.60125,126.770361,경기,김포도시철도,1
곡산,37.645729,126.801877,경기,경의중앙선|서해선,2
곤제,37.750543,127.083865,경기,의정부,1
곤지암,37.350525,127.346186,경기,경강선,1
공덕,37.543255,126.951621,서울,5호선|6호선|경의중앙선|인천국제공항선,4
공릉,37.625642,127.072969,서울,7호선,1
공항시장,37.563726,126.810678,서울,9호선,1
공항화물청사,37.459026,126.477433,인천,인천국제공항선,1
과천,37.432805,126.996404,경기,안산과천선,1
관악,37.419578,126.908476,경기,1호선,1
관악산,37.469169,126.944955,서울,신림선,1
광교,37.301735,127.044856,경기,신분당선,1
광교중앙,37.287738,127.052625,경기,신분당선,1
광나루,37.545301,127.103478,서울,5호선,1
광명,37.415995,126.884523,경기,1호선,1
광명사거리,37.47927,126.854854,서울,7호선,1
광운대,37.623702,127.061928,서울,1호선|경의중앙선|경춘선,3
광화문,37.570545,126.976568,서울,5호선,1
광흥창,37.547464,126.931971,서울,6호선,1
교대,37.493509,127.014214,서울,2호선|3호선,2
구래,37.645354,126.6285,경기,김포도시철도,1
구로,37.503178,126.882037,서울,1호선,1
구로디지털단지,37.485005,126.902626,서울,2호선,1
구룡,37.486985,127.059496,서울,분당선,1
구리,37.60326,127.143373,경기,경의중앙선,1
구반포,37.501389,126.987222,서울,9호선,1
구산,37.611223,126.917246,서울,6호선,1
구성,37.299013,127.105664,경기,분당선,1
구의,37.536857,127.085024,서울,2호선,1
구일,37.495973,126.869201,서울,1호선,1
구파발,37.636612,126.918827,서울,3호선,1
국수,37.516171,127.399402,경기,경의중앙선,1
국제업무지구,37.400421,126.630105,인천,인천지하철 1호선,1
국회의사당,37.528105,126.917874,서울,9호선,1
군자,37.557126,127.079522,서울,5호선|7호선,2
군포,37.353732,126.948517,경기,1호선,1
굴포천,37.50695,126.731481,인천,도시철도 7호선,1
굽은다리,37.545442,127.142844,서울,5호선,1
귤현,37.566362,126.742498,인천,인천지하철 1호선,1
금곡,37.637414,127.207931,경기,경춘선,1
금릉,37.751295,126.765401,경기,경의중앙선,1
금정,37.371957,126.943511,경기,1호선|안산과천선,2
금천구청,37.45576,126.894344,서울,1호선,1
금촌,37.766106,126.774515,경기,경의중앙선,1
금호,37.548269,127.015785,서울,3호선,1
기흥,37.275555,127.116495,경기,분당선|에버라인,2
길동,37.538022,127.140085,서울,5호선,1
길음,37.604087,127.025353,서울,4호선,1
김량장,37.237324,127.198611,경기,에버라인,1
김포공항,37.562154,126.802068,서울,5호선|9호선|김포도시철도|서해선|인천국제공항선,5
까치산,37.53181,126.846706,서울,2호선|5호선,2
까치울,37.506236,126.81095,경기,도시철도 7호선,1
낙성대,37.47693,126.963783,서울,2호선,1
남구로,37.486181,126.887372,서울,7호선,1
