역명,내국인,장기외국,단기외국,전체,단기비중,외국인비중
4.19민주묘지,4155.940705879211,143.25972014853508,81.95124487790295,4381.15167090565,1.87,5.14
가락시장,16541.831005701697,427.49239732445676,573.9065304442954,17543.229933470448,3.27,5.71
가산디지털단지,43454.501057339,2571.3246642276536,1617.0993722030355,47642.925093769685,3.39,8.79
가양,15025.41288839857,349.54174828948675,793.164073711663,16168.11871039972,4.91,7.07
가오리,6986.9308011332805,307.756687096502,175.19643813564028,7469.883926365423,2.35,6.47
가좌,3070.693480381036,150.504436503909,142.70240417327406,3363.9003210582187,4.24,8.72
가천대,6749.08709132071,477.18524030171614,256.23773353822054,7482.510065160647,3.42,9.8
강남,62003.06823029529,3074.1088429574943,2998.988107033139,68076.16518028593,4.41,8.92
강남구청,30631.348753747818,1320.985701905931,1652.3205753193813,33604.65503097313,4.92,8.85
강남대,6089.016393359245,148.9863909400178,338.7740341706629,6576.776818469925,5.15,7.42
강동,13260.19682890142,401.30939370203805,466.65573902171275,14128.161961625172,3.3,6.14
강동구청,6506.361600158062,167.26080957904887,210.322137210046,6883.9445469471575,3.06,5.48
강변,14051.425800290492,431.24998158299155,540.1053418318812,15022.781123705365,3.6,6.47
강일,6480.75156946137,84.54542584325439,852.7403200422797,7418.0373153469045,11.5,12.64
개롱,4158.7524693729765,71.6156131908826,152.87999103808104,4383.248073601941,3.49,5.12
개봉,8046.205692685295,236.66363005623984,216.80851870344344,8499.677841444978,2.55,5.34
개포동,6021.204649181414,136.70790192677285,204.761226747691,6362.673777855878,3.22,5.37
개화,7097.47019030598,222.73222276212573,1951.5204745623307,9271.722887630436,21.05,23.45
개화산,3330.2545033876368,86.44778402542819,619.8578882018401,4036.560175614905,15.36,17.5
거여,7411.631334149206,120.4637807224283,237.14038189545187,7769.235496767086,3.05,4.6
건대입구,32220.488122749848,3367.42081968384,3089.562452679812,38677.4713951135,7.99,16.69
경기광주,4211.031580753212,197.6538790864779,125.9898995346555,4534.675359374346,2.78,7.14
경기도청북부청사,6253.229000358458,254.80583951491755,289.07068345946635,6797.105523332842,4.25,8.0
경마공원,4759.721806657488,110.08624580795853,153.2450580849423,5023.053110550389,3.05,5.24
경복궁,18823.906266695078,723.5378367246084,1828.225864646268,21375.669968065955,8.55,11.94
경찰병원,8138.122918851302,179.08451199879758,276.24432703009916,8593.451757880199,3.21,5.3
계산,3989.971560858635,104.41870671393002,185.12327490674772,4279.5135424793125,4.33,6.77
계양,13826.786316171054,361.85098643503824,641.5233605661483,14830.16066317224,4.33,6.77
고덕,8374.9153261339,92.9704581150627,204.31672457845215,8672.202508827415,2.36,3.43
고려대,4796.788825242984,296.2673407258109,193.73530918448583,5286.791475153281,3.66,9.27
고속터미널,42155.80876960528,1576.5538856009737,2263.680751755994,45996.04340696225,4.92,8.35
공덕,50172.07602606348,1606.426596389831,3947.993861757617,55726.496484210926,7.08,9.97
공릉,5756.664107371334,172.065639299623,157.92457608479197,6086.654322755749,2.59,5.42
과천,7161.182229042054,165.62893781717145,230.56301002958526,7557.37417688881,3.05,5.24
관악,5843.039728761146,244.67034040312336,190.69236856558467,6278.402437729854,3.04,6.93
관악산,14067.93919667708,2044.9871438302898,643.6061464848175,16756.532486992186,3.84,16.05
광교중앙,16896.971407880243,506.390570297394,741.6992199339405,18145.061198111576,4.09,6.88
광나루,10865.922118716495,363.04587112525644,383.79606153988226,11612.764051381633,3.3,6.43
광명사거리,4772.397140699821,160.49829667068516,159.06227360105044,5091.957710971556,3.12,6.28
광운대,17817.701365009456,543.2402913384443,547.3200608162231,18908.26171716412,2.89,5.77
광화문,10591.009995066304,385.94157246062593,912.3786278893028,11889.330195416233,7.67,10.92
광흥창,5625.362211576932,269.45977419754576,389.10243350108067,6283.924419275559,6.19,10.48
교대,40150.578764723665,1492.5065099196277,1773.6297808613251,43416.71505550462,4.09,7.52
구래,6974.938862974779,254.39737040251478,295.25701239906107,7524.593245776355,3.92,7.3
구로,13942.263496297499,1549.9938196917965,938.561616826294,16430.81893281559,5.71,15.15
구로디지털단지,18604.237479394134,2280.1444756454366,695.867943574414,21580.249898613984,3.22,13.79
구룡,5682.348223055601,138.71269018433955,166.9571160558511,5988.018029295791,2.79,5.1
구리,11101.774072943273,212.3702298361548,269.4904985507068,11583.634801330136,2.33,4.16
구반포,4971.642354383804,272.1701261340689,230.01006963945298,5473.822550157325,4.2,9.17
구산,8954.062991282484,169.40766744871328,262.0968769041662,9385.567535635364,2.79,4.6
구의,17148.048316949604,890.4209871254484,792.2094163451354,18830.67872042019,4.21,8.94
구일,5350.321834669992,334.8621852665141,300.2907843593558,5985.474804295862,5.02,10.61
구파발,16182.187695247027,277.39249398391166,673.6563545439612,17133.2365437749,3.93,5.55
국제업무지구,5212.146014316314,259.4425102744085,206.65550601944224,5678.244030610165,3.64,8.21
국회의사당,10671.746246130075,319.2894628474185,681.6677560399628,11672.703465017456,5.84,8.58
군자,22258.811293324165,1187.1272072006484,817.8999083534574,24263.83840887827,3.37,8.26
군포,6692.7990949176665,220.9848390347987,321.4864904960376,7235.270424448503,4.44,7.5
굴포천,4564.630361198186,269.0131834597892,130.96694457910792,4964.610489237083,2.64,8.06
굽은다리,14653.688353452788,296.7301363801583,418.81650220433056,15369.234992037276,2.73,4.66
귤현,5643.290956819438,147.68655223063635,261.83256878984616,6052.81007783992,4.33,6.77
금곡,9118.128077724845,190.36690861396536,401.88569596281576,9710.380682301626,4.14,6.1
금정,5929.18219714678,147.60150834798975,157.28302493720685,6234.066730431976,2.52,4.89
금천구청,23550.413402307135,1007.4088644876256,780.1277090478657,25337.949975842625,3.08,7.05
금호,4937.76539362334,156.7344819286903,233.11274594010186,5327.612621492132,4.38,7.32
기흥,12867.790133656192,314.8498029136275,715.9240331811944,13898.563969751014,5.15,7.42
길동,15507.509413159009,344.94610011010514,505.85326170901624,16358.30877497813,3.09,5.2
길음,12400.01199807963,312.9921010728142,324.03736632571855,13037.041465478162,2.49,4.89
김포공항,18854.964547683783,524.6831395557523,1009.2610940348668,20388.908781274404,4.95,7.52
까치산,30935.321255957744,1086.7909293138039,897.6677077891791,32919.779893060724,2.73,6.03
낙성대,26019.752650329152,1248.3449134055288,842.8902581065682,28110.98782184125,3.0,7.44
남구로,11927.942364665289,1221.6935344099527,483.4287285043317,13633.064627579573,3.55,12.51
남동구청,8756.506458374337,352.6541156499074,225.1119400079879,9334.272514032233,2.41,6.19
남부터미널,26145.61626222145,781.9684550609795,941.6940303789812,27869.27874766141,3.38,6.18
남성,9780.951028660984,268.7792311281122,286.77615712935057,10336.506416918446,2.77,5.37
남영,4276.398353771834,210.16046406258945,597.9868942250497,5084.545712059473,11.76,15.89
남태령,11157.263991788102,360.0887520632712,326.7173209979804,11844.070064849355,2.76,5.8
남한산성입구,5290.49858216109,131.6887967216539,125.57665847718894,5547.764037359932,2.26,4.64
내방,8442.066355834362,256.4546528580744,311.58800496899875,9010.109013661435,3.46,6.3
노들,7173.493330408073,435.39994709047585,304.94832811857907,7913.841605617128,3.85,9.36
노량진,11307.069812383334,718.5339893992558,509.33465624560375,12534.938458028193,4.06,9.8
노원,24552.030176731852,355.34513983712276,803.3196955941269,25710.6950121631,3.12,4.51
녹번,10010.687203909427,155.19061160137446,269.43592938480674,10435.313744895608,2.58,4.07
녹사평,3748.576062320364,570.85096172289,518.3349786440125,4837.762002687266,10.71,22.51
녹천,7761.428255395207,120.67998048086729,278.9561174697464,8161.064353345821,3.42,4.9
논현,21299.147034751877,1222.3063558457493,1210.7043916926993,23732.157782290327,5.1,10.25
능길,7151.258395597679,1029.0800686116074,732.8127424246235,8913.15120663391,8.22,19.77
단대오거리,10551.023008510629,268.1966718949759,252.00261338798776,11071.222293793591,2.28,4.7
달월,3240.7624982357756,255.87175531986938,293.7226066985483,3790.356860254193,7.75,14.5
답십리,7823.948427801461,315.60235808059775,444.0094271481699,8583.560213030229,5.17,8.85
당곡,5541.139227181035,350.86823104336213,217.98025301148064,6109.987711235877,3.57,9.31
당산,19371.593810355625,702.3184257575558,749.9906986262646,20823.902934739446,3.6,6.97
당정,6217.736931124539,228.78213822619514,364.30769545778014,6810.826764808515,5.35,8.71
대공원,7178.579366892879,166.03131124814007,231.12313213519496,7575.733810276214,3.05,5.24
대림,25255.27804668383,5891.01448067536,1488.5927765013632,32634.885303860552,4.56,22.61
대모산입구,4617.790983688712,94.28048233179926,183.84295785127367,4895.9144238717845,3.76,5.68
대방,9579.235513238067,377.00349561124597,402.39070347600375,10358.629712325317,3.88,7.52
대야미,5973.7945425205135,252.26740545896524,440.7512907876808,6666.813238767159,6.61,10.4
대청,5221.947992514523,87.86010575461465,203.1232058843254,5512.931304153463,3.68,5.28
대치,12266.306092055725,334.1480636754952,519.4440822099684,13119.898237941188,3.96,6.51
대화,16547.266519221743,326.7028298708985,636.0969005433387,17510.06624963598,3.63,5.5
대흥,6338.6944283352495,352.59654769495376,475.28250134869444,7166.573477378898,6.63,11.55
도곡,19435.86067374154,536.0197131355395,650.9286467653764,20622.809033642454,3.16,5.76
도림천,3702.809063302954,155.67338689872207,174.13155716033594,4032.614007362012,4.32,8.18
도봉,5033.10572897373,82.42900455209187,144.50245015544817,5260.03718368127,2.75,4.31
도봉산,6272.002413638368,118.46669960567596,155.43636841298817,6545.905481657032,2.37,4.18
도화,7579.133469327542,353.1187473163078,164.84261888450067,8097.094835528351,2.04,6.4
독립문,9664.753579593667,229.96517783603696,526.7275597172878,10421.446317146992,5.05,7.26
독바위,10852.628048363471,211.47748075480993,336.7131353916949,11400.818664509976,2.95,4.81
독산,19621.030025439057,1046.1323975501218,732.7397341882937,21399.902157177472,3.42,8.31
돌곶이,6148.944205311197,255.32426323197834,193.18625891403562,6597.4547274572105,2.93,6.8
동대문,22862.994144750635,1424.3070547293337,2107.7917293781347,26395.092928858103,7.99,13.38
동대문역사문화공원,21115.321933096682,1636.0967807072743,3175.290394387607,25926.709108191564,12.25,18.56
동대입구,5857.724679872633,422.3212865709467,750.3298710172841,7030.375837460863,10.67,16.68
동묘앞,13594.2408515117,1047.7210165396973,1113.6442054517474,15755.606073503146,7.07,13.72
동수,8819.549403648442,519.7737547216348,253.04774900921691,9592.370907379292,2.64,8.06
동오,7237.327039393223,294.90575061474505,334.56300314240025,7866.795793150368,4.25,8.0
동작,15013.440766571153,675.4793647516091,607.8229924193091,16296.743123742071,3.73,7.87
동천,7519.203638690713,134.68775127559658,203.2130984158124,7857.104488382121,2.59,4.3
둔촌동,6416.926021348524,154.91762540511075,232.96351995684256,6804.807166710478,3.42,5.7
둔촌오륜,5246.130241969495,84.54164217707432,170.80847855187335,5501.480362698442,3.1,4.64
등촌,13556.0441533967,339.67103405157866,659.9462767135093,14555.661464161789,4.53,6.87
디지털미디어시티,27215.454572780418,670.5340468046816,1148.3779687095898,29034.366588294688,3.96,6.26
뚝섬,14349.437263132628,647.3900893353759,1647.6353600695124,16644.462712537515,9.9,13.79
뚝섬유원지,5528.456638567846,602.2379733388361,540.1556937551808,6670.850305661863,8.1,17.13
마곡,4456.1931758978335,83.95444074932543,194.21736134668785,4734.364977993847,4.1,5.88
마곡나루,27732.798192027185,694.4262015310583,1249.174316389442,29676.398709947687,4.21,6.55
마들,8236.128279479299,81.0778728684781,469.7180865739178,8786.924238921694,5.35,6.27
마산,5999.471821774329,217.89393825108718,249.3967920572434,6466.76255208266,3.86,7.23
마석,5580.362223933579,116.61107217999539,245.83116782422655,5942.8044639378,4.14,6.1
마장,4074.9889362790877,212.65691900483733,235.53059932122855,4523.176454605154,5.21,9.91
마천,5288.924476795054,87.50841268142034,211.61853933697049,5588.0514288134445,3.79,5.35
마포,5541.70275515298,173.7235904600481,427.51145005322485,6142.937795666253,6.96,9.79
마포구청,6833.609927854836,197.85089496319856,328.59398178762217,7360.054804605657,4.46,7.15
만수,5968.510078598264,240.3720768689291,153.43823351669434,6362.320388983888,2.41,6.19
망우,6735.637197167795,168.53333579200165,304.11169487231,7208.282227832107,4.22,6.56
망원,6636.506102704741,316.4670815627292,573.1680505920178,7526.141234859489,7.62,11.82
매교,9858.559130247128,858.6590062937179,345.8897995972585,11063.107936138103,3.13,10.89
매봉,9315.299960397842,271.80400581394593,346.6511476313389,9933.755113843128,3.49,6.23
먹골,4693.166126981164,114.52555676000796,234.8902892731108,5042.581973014283,4.66,6.93
면목,8521.876284996775,377.6276123459898,226.1414596185156,9125.64535696128,2.48,6.62
