역명,시간대,승차,하차
4.19민주묘지,0,4.5,21.0
4.19민주묘지,4,0.1,0.0
4.19민주묘지,5,60.8,24.3
4.19민주묘지,6,124.1,47.3
4.19민주묘지,7,295.0,70.6
4.19민주묘지,8,337.6,159.2
4.19민주묘지,9,244.5,143.4
4.19민주묘지,10,190.1,151.8
4.19민주묘지,11,185.4,164.0
4.19민주묘지,12,192.4,163.2
4.19민주묘지,13,201.0,156.3
4.19민주묘지,14,182.6,157.8
4.19민주묘지,15,204.1,173.6
4.19민주묘지,16,206.4,192.8
4.19민주묘지,17,171.4,207.8
4.19민주묘지,18,141.3,261.4
4.19민주묘지,19,102.3,245.6
4.19민주묘지,20,86.1,152.4
4.19민주묘지,21,64.3,139.3
4.19민주묘지,22,38.5,111.4
4.19민주묘지,23,19.4,85.7
가능,0,6.4,79.1
가능,4,28.2,0.3
가능,5,268.0,55.1
가능,6,382.5,114.3
가능,7,771.1,259.5
가능,8,652.0,443.5
가능,9,414.5,251.9
가능,10,390.9,213.3
가능,11,378.3,238.7
가능,12,367.1,256.4
가능,13,325.1,281.6
가능,14,285.4,251.4
가능,15,303.2,338.8
가능,16,336.7,360.1
가능,17,379.5,497.8
가능,18,299.4,598.6
가능,19,180.9,583.7
가능,20,154.2,391.4
가능,21,115.9,298.6
가능,22,76.8,270.1
가능,23,31.7,145.6
가락시장,0,50.5,119.9
가락시장,1,0.0,18.5
가락시장,4,8.8,0.3
가락시장,5,233.4,121.4
가락시장,6,512.8,426.5
가락시장,7,1174.3,903.8
가락시장,8,1243.5,2394.5
가락시장,9,915.5,1105.7
가락시장,10,865.1,766.3
가락시장,11,838.0,775.1
가락시장,12,842.2,751.3
가락시장,13,856.4,816.0
가락시장,14,888.5,785.2
가락시장,15,990.1,876.5
가락시장,16,1092.8,1013.8
가락시장,17,1417.4,1320.1
가락시장,18,1934.3,1641.5
가락시장,19,837.3,1129.6
가락시장,20,724.4,766.9
가락시장,21,673.9,653.7
가락시장,22,506.9,577.4
가락시장,23,215.8,333.8
가산디지털단지,0,56.1,129.3
가산디지털단지,1,0.1,0.0
가산디지털단지,4,64.7,0.8
가산디지털단지,5,410.1,263.6
가산디지털단지,6,654.1,1375.1
가산디지털단지,7,1434.8,6981.1
가산디지털단지,8,1570.4,18342.4
가산디지털단지,9,1102.3,9496.4
가산디지털단지,10,1003.0,2682.0
가산디지털단지,11,1200.5,1643.4
가산디지털단지,12,1531.3,1615.3
가산디지털단지,13,1688.4,1618.7
가산디지털단지,14,1848.2,1446.3
가산디지털단지,15,2377.5,1384.8
가산디지털단지,16,3548.7,1475.8
가산디지털단지,17,9841.1,1813.1
가산디지털단지,18,13993.2,2216.2
가산디지털단지,19,5334.5,1600.7
가산디지털단지,20,2992.4,1051.1
가산디지털단지,21,2301.7,925.8
가산디지털단지,22,1299.3,851.8
가산디지털단지,23,560.7,503.6
가양,0,22.7,177.5
가양,1,0.0,8.2
가양,4,4.3,0.0
가양,5,558.4,56.2
가양,6,1038.9,281.2
가양,7,2672.4,841.4
가양,8,2672.5,1902.3
가양,9,1444.6,1043.0
가양,10,1132.6,672.8
가양,11,1063.3,687.0
가양,12,1115.5,752.6
가양,13,986.5,799.6
가양,14,895.4,864.3
가양,15,946.5,1072.3
가양,16,1112.6,1258.6
가양,17,1338.2,1562.0
가양,18,1682.2,2482.4
가양,19,759.6,2014.9
가양,20,604.2,1239.8
가양,21,460.3,1073.1
가양,22,308.3,968.7
가양,23,129.7,579.4
가오리,0,5.5,30.5
가오리,4,0.7,0.0
가오리,5,95.3,17.7
가오리,6,211.8,60.3
가오리,7,555.1,112.6
가오리,8,567.9,221.8
가오리,9,387.0,178.9
가오리,10,276.5,173.9
가오리,11,266.1,181.0
가오리,12,256.2,202.5
가오리,13,243.3,226.4
가오리,14,190.9,211.9
가오리,15,217.3,276.4
가오리,16,228.8,328.7
