지역코드,역명,가중치
11110515,경복궁,0.767298
11110515,독립문,0.07703
11110515,안국,0.073961
11110515,광화문,0.046035
11110515,무악재,0.022787
11110515,종각,0.01289
11110530,경복궁,0.453121
11110530,광화문,0.229356
11110530,서대문,0.116443
11110530,독립문,0.085963
11110530,용답,0.044472
11110530,종각,0.070644
11110540,안국,0.60693
11110540,경복궁,0.264091
11110540,혜화,0.028706
11110540,광화문,0.017332
11110540,종각,0.025288
11110540,종로3가,0.057652
11110550,녹번,0.014038
11110550,독립문,0.007253
11110550,무악재,0.406731
11110550,홍제,0.571978
11110560,녹번,0.494316
11110560,독바위,0.505684
11110570,독립문,0.69497
11110570,무악재,0.202664
11110570,경복궁,0.063977
11110570,서대문,0.026284
11110570,광화문,0.006881
11110570,홍제,0.005225
11110580,서대문,0.284357
11110580,독립문,0.266619
11110580,경복궁,0.124531
11110580,광화문,0.076231
11110580,충정로,0.120212
11110580,시청,0.12805
11110600,안국,0.510465
11110600,종로3가,0.296463
11110600,혜화,0.067517
11110600,경복궁,0.0528
11110600,종각,0.05742
11110600,광화문,0.015336
11110615,안국,0.155871
11110615,종로3가,0.615468
11110615,종각,0.094414
11110615,을지로3가,0.086508
11110615,종로5가,0.0251
11110615,을지로입구,0.022638
11110630,종로5가,0.203588
11110630,동대문,0.309676
11110630,을지로4가,0.135841
11110630,동대문역사문화공원,0.21462
11110630,혜화,0.044181
11110630,동묘앞,0.092095
11110640,혜화,0.482767
11110640,종로5가,0.126395
11110640,한성대입구,0.108355
11110640,창신,0.05661
11110640,동대문,0.165102
11110640,동묘앞,0.060771
11110650,혜화,0.528529
11110650,한성대입구,0.404515
11110650,안국,0.018242
11110650,창신,0.005304
11110650,성신여대입구,0.023762
11110650,종로3가,0.019648
11110670,동묘앞,0.297041
11110670,동대문,0.272375
11110670,신당,0.127376
11110670,창신,0.030096
11110670,동대문역사문화공원,0.110283
11110670,신설동,0.162829
11110680,동대문,0.391296
11110680,동묘앞,0.309553
11110680,창신,0.086614
11110680,종로5가,0.072089
11110680,혜화,0.049647
11110680,동대문역사문화공원,0.090801
11110690,창신,0.146923
11110690,동묘앞,0.243689
11110690,동대문,0.172957
11110690,보문,0.150991
11110690,신설동,0.243125
11110690,혜화,0.042314
11110700,창신,0.089558
11110700,동묘앞,0.245304
11110700,신설동,0.423758
11110700,동대문,0.115307
11110700,보문,0.093952
11110700,신당,0.032122
11110710,신설동,0.575064
11110710,동묘앞,0.218888
11110710,창신,0.033766
11110710,동대문,0.07219
11110710,신당,0.072635
11110710,보문,0.027457
11140520,시청,0.566737
11140520,용답,0.078343
11140520,회현,0.11326
11140520,서대문,0.081869
11140520,광화문,0.074301
11140520,을지로입구,0.085491
11140540,회현,0.094719
11140540,서울,0.740089
11140540,시청,0.125263
11140540,용답,0.008943
11140540,명동,0.016651
11140540,을지로입구,0.014335
11140550,을지로입구,0.22098
11140550,명동,0.203635
11140550,회현,0.162502
11140550,용답,0.064282
11140550,종각,0.136677
11140550,을지로3가,0.211924
11140570,충무로,0.517603
11140570,명동,0.186978
11140570,동대입구,0.05874
11140570,을지로3가,0.118517
11140570,을지로4가,0.089174
11140570,회현,0.028989
11140580,동대입구,0.218741
11140580,약수,0.276722
11140580,충무로,0.225915
11140580,버티고개,0.051019
11140580,청구,0.084017
11140580,동대문역사문화공원,0.143586
11140590,동대문역사문화공원,0.449113
11140590,을지로4가,0.209293
11140590,종로5가,0.079536
11140590,동대입구,0.048853
11140590,충무로,0.117068
11140590,동대문,0.096136
11140605,을지로4가,0.265065
11140605,을지로3가,0.215076
11140605,충무로,0.174799
11140605,종로5가,0.066873
11140605,종로3가,0.241916
11140605,명동,0.036272
11140615,신당,0.264796
11140615,동대문역사문화공원,0.29867
11140615,청구,0.154439
11140615,동대문,0.153165
11140615,동묘앞,0.112119
11140615,동대입구,0.016811
11140625,약수,0.483947
11140625,동대입구,0.158817
11140625,버티고개,0.067476
11140625,청구,0.194608
11140625,금호,0.057615
11140625,신금호,0.037537
11140635,버티고개,0.167909
11140635,약수,0.425036
11140635,금호,0.205334
11140635,동대입구,0.053694
11140635,신금호,0.051863
11140635,옥수,0.096165
11140645,청구,0.35223
11140645,약수,0.312735
11140645,신금호,0.124147
11140645,동대입구,0.060634
11140645,금호,0.053617
11140645,신당,0.096638
11140650,신당,0.451403
11140650,상왕십리,0.176784
11140650,청구,0.189098
11140650,행당,0.060014
11140650,신금호,0.046658
11140650,동묘앞,0.076042
11140665,청구,0.363759
11140665,신당,0.32496
11140665,신금호,0.101445
11140665,상왕십리,0.061262
11140665,약수,0.103219
11140665,행당,0.045356
11140670,신당,0.315647
11140670,동묘앞,0.200296
11140670,상왕십리,0.068428
11140670,신설동,0.274208
11140670,동대문,0.089877
11140670,청구,0.051544
11140680,충정로,0.193645
11140680,서울,0.676071
11140680,아현,0.030718
11140680,애오개,0.027036
11140680,서대문,0.022935
11140680,시청,0.049596
11170510,서울,0.830666
11170510,숙대입구,0.080419
11170510,회현,0.048345
11170510,남영,0.012065
11170510,명동,0.013364
11170510,시청,0.015141
11170520,녹사평,0.347083
11170520,이태원,0.172727
11170520,삼각지,0.397465
11170520,남영,0.037005
11170520,숙대입구,0.032801
11170520,한강진,0.012919
11170530,숙대입구,0.258968
11170530,남영,0.126695
11170530,삼각지,0.220094
11170530,서울,0.340123
11170530,효창공원앞,0.047407
11170530,녹사평,0.006714
11170555,숙대입구,0.141834
11170555,서울,0.697421
11170555,남영,0.042495
11170555,효창공원앞,0.076795
11170555,애오개,0.023496
11170555,충정로,0.01796
11170560,효창공원앞,0.337226
11170560,남영,0.095085
11170560,삼각지,0.362968
11170560,용산,0.064317
11170560,신용산,0.08527
11170560,숙대입구,0.055133
11170570,마포,0.146257
11170570,효창공원앞,0.160488
11170570,공덕,0.632281
11170570,용산,0.04248
11170570,신용산,0.016987
11170570,대흥,0.001506
11170580,효창공원앞,0.287009
11170580,공덕,0.613681
11170580,남영,0.031232
11170580,숙대입구,0.04145
11170580,애오개,0.013601
11170580,마포,0.013027
11170590,효창공원앞,0.326709
11170590,공덕,0.580212
11170590,용산,0.027884
11170590,마포,0.031924
11170590,남영,0.015856
11170590,신용산,0.017415
11170625,신용산,0.321385
11170625,용산,0.160431
11170625,삼각지,0.247311
11170625,이촌,0.221612
11170625,효창공원앞,0.038757
11170625,남영,0.010503
11170630,이촌,0.763655
11170630,흑석,0.135452
11170630,동작,0.058289
11170630,서빙고,0.011252
11170630,신용산,0.022355
11170630,노들,0.008998
11170640,노들,0.371679
11170640,용산,0.214259
11170640,신용산,0.136976
11170640,노량진,0.166196
11170640,이촌,0.087907
11170640,흑석,0.022982
11170650,이태원,0.613044
11170650,녹사평,0.257988
11170650,한강진,0.081637
11170650,한남,0.017579
11170650,서빙고,0.009407
11170650,삼각지,0.020344
11170660,이태원,0.443298
11170660,한강진,0.243349
11170660,녹사평,0.24524
11170660,버티고개,0.026165
11170660,삼각지,0.033432
11170660,숙대입구,0.008516
11170685,한강진,0.365337
11170685,한남,0.166222
11170685,이태원,0.14216
11170685,옥수,0.255113
11170685,버티고개,0.050778
11170685,금호,0.02039
11170690,서빙고,0.793123
11170690,이촌,0.176487
11170690,녹사평,0.007606
11170690,이태원,0.008991
11170690,신반포,0.006189
11170690,동작,0.007605
11170700,한남,0.567157
11170700,이태원,0.263452
11170700,서빙고,0.093741
11170700,한강진,0.033606
11170700,녹사평,0.023386
11170700,잠원,0.018658
11200520,상왕십리,0.170463
11200520,행당,0.112189
11200520,왕십리,0.56837
11200520,신당,0.085206
11200520,신금호,0.031386
11200520,청구,0.032386
11200535,상왕십리,0.198112
11200535,왕십리,0.525906
11200535,신당,0.080092
11200535,행당,0.03086
11200535,신설동,0.150297
11200535,용두,0.014733
11200540,마장,0.205618
11200540,왕십리,0.675214
11200540,용두,0.033711
11200540,답십리,0.037647
11200540,상왕십리,0.028937
11200540,한양대,0.018875
11200550,한양대,0.22442
11200550,왕십리,0.638054
11200550,마장,0.067873
11200550,신답,0.015826
11200550,답십리,0.029985
11200550,뚝섬,0.023843
11200560,왕십리,0.807475
11200560,행당,0.047085
11200560,한양대,0.05977
11200560,상왕십리,0.03179
11200560,응봉,0.024095
11200560,마장,0.029785
11200570,행당,0.179384
11200570,응봉,0.073114
11200570,신금호,0.056583
11200570,상왕십리,0.069617
11200570,왕십리,0.595004
11200570,한양대,0.026297
11200580,응봉,0.369817
11200580,행당,0.113154
11200580,한양대,0.088667
11200580,왕십리,0.357861
11200580,서울숲,0.029959
11200580,뚝섬,0.040542
11200590,신금호,0.329103
11200590,행당,0.284163
11200590,응봉,0.144276
11200590,금호,0.099133
11200590,청구,0.0922
11200590,상왕십리,0.051125
11200615,신금호,0.264288
11200615,금호,0.242713
11200615,약수,0.209195
11200615,행당,0.057683
11200615,청구,0.103338
11200615,옥수,0.122783
11200620,옥수,0.605538
11200620,금호,0.183936
11200620,신금호,0.079874
11200620,응봉,0.098266
11200620,행당,0.024616
11200620,버티고개,0.007771
11200645,옥수,0.884656
11200645,금호,0.088211
11200645,버티고개,0.008365
11200645,신금호,0.008378
11200645,응봉,0.006361
11200645,한남,0.00403
11200650,서울숲,0.508164
11200650,뚝섬,0.296703
11200650,응봉,0.064335
11200650,성수,0.10443
11200650,압구정로데오,0.018627
11200650,한양대,0.00774
11200660,뚝섬,0.360102
11200660,서울숲,0.17882
11200660,응봉,0.123904
11200660,한양대,0.153333
11200660,성수,0.083202
11200660,왕십리,0.100639
11200670,성수,0.524399
11200670,뚝섬유원지,0.046308
11200670,자양,0.097613
11200670,서울숲,0.081367
11200670,뚝섬,0.063899
11200670,건대입구,0.186414
11200690,성수,0.67903
11200690,뚝섬,0.109465
11200690,건대입구,0.164932
11200690,서울숲,0.034451
11200690,어린이대공원,0.010682
11200690,뚝섬유원지,0.00144
11200720,어린이대공원,0.202461
11200720,장한평,0.230268
11200720,성수,0.177326
11200720,신답,0.027082
11200720,군자,0.159563
11200720,건대입구,0.2033
11200790,신답,0.254033
11200790,장한평,0.447005
11200790,답십리,0.177128
11200790,한양대,0.068826
11200790,성수,0.031844
11200790,마장,0.021164
11215710,건대입구,0.801832
11215710,어린이대공원,0.144048
11215710,구의,0.028579
11215710,뚝섬유원지,0.004317
11215710,자양,0.0091
11215710,성수,0.012125
11215730,어린이대공원,0.23051
11215730,군자,0.603071
11215730,장한평,0.055035
11215730,아차산,0.027316
